number,assigned_group,,,,,,,,,,,,,,
INC0504122,Collaboration Tools Support,,,,,,,,,,,,,,
INC0505617,Filenet Support,,,,,,,,,,,,,,
INC0505703,Filenet Support,,,,,,,,,,,,,,
INC0504911,Collaboration Tools Support,,,,,,,,,,,,,,
INC0513002,Collaboration Tools Support,,,,,,,,,,,,,,
INC0505878,Collaboration Tools Support,,,,,,,,,,,,,,
INC0505893,Collaboration Tools Support,,,,,,,,,,,,,,
INC0506089,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0505933,Filenet Support,,,,,,,,,,,,,,
INC0506867,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0506939,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507105,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0506542,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0506924,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0507119,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507366,Lotus Notes Support,,,,,,,,,,,,,,
INC0507722,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507756,Collaboration Tools Support,,,,,,,,,,,,,,
INC0506134,Collaboration Tools Support,,,,,,,,,,,,,,
INC0506546,Collaboration Tools Support,,,,,,,,,,,,,,
INC0506586,Collaboration Tools Support,,,,,,,,,,,,,,
INC0506913,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507079,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507399,Collaboration Tools Support,,,,,,,,,,,,,,
INC0506518,Collaboration Tools Support,,,,,,,,,,,,,,
INC0506883,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507506,Integration Support,,,,,,,,,,,,,,
INC0507816,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507860,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507917,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0508067,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508109,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0508132,Lotus Notes Support,,,,,,,,,,,,,,
INC0508329,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508455,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508175,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508553,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508798,SAP Vistex Support,,,,,,,,,,,,,,
INC0507932,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507995,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508162,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508745,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508629,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508626,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0507851,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508747,3rd Party Application Support,,,,,,,,,,,,,,
INC0507887,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507959,Collaboration Tools Support,,,,,,,,,,,,,,
INC0509181,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510050,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510070,SAP Vistex Support,,,,,,,,,,,,,,
INC0510148,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510367,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0509229,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0509842,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510124,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0510267,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510285,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510819,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0510847,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0509602,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0510648,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0509000,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510169,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510170,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510678,Collaboration Tools Support,,,,,,,,,,,,,,
INC0509045,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510621,Lotus Notes Support,,,,,,,,,,,,,,
INC0510903,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0510885,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0510926,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0510944,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510998,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0511047,Collaboration Tools Support,,,,,,,,,,,,,,
INC0511099,SAP Vistex Support,,,,,,,,,,,,,,
INC0511341,Collaboration Tools Support,,,,,,,,,,,,,,
INC0511548,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0511702,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0511754,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0511146,Collaboration Tools Support,,,,,,,,,,,,,,
INC0511658,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0511688,Lotus Notes Support,,,,,,,,,,,,,,
INC0511032,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0511229,Collaboration Tools Support,,,,,,,,,,,,,,
INC0511726,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0512005,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0513130,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0517947,Collaboration Tools Support,,,,,,,,,,,,,,
INC0511182,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512155,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512453,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0512455,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512517,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512598,Lotus Notes Support,,,,,,,,,,,,,,
INC0512660,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512913,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512927,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512346,SAP Vistex Support,,,,,,,,,,,,,,
INC0512809,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512588,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512695,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512876,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0512989,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512421,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512723,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0512983,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0513971,Lotus Notes Support,,,,,,,,,,,,,,
INC0513499,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0514461,Collaboration Tools Support,,,,,,,,,,,,,,
INC0513142,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0513229,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0513242,Collaboration Tools Support,,,,,,,,,,,,,,
INC0513394,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0513745,Integration Support,,,,,,,,,,,,,,
INC0514009,Lotus Notes Support,,,,,,,,,,,,,,
INC0514015,Lotus Notes Support,,,,,,,,,,,,,,
INC0514197,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0514398,Collaboration Tools Support,,,,,,,,,,,,,,
INC0513308,Collaboration Tools Support,,,,,,,,,,,,,,
INC0513551,Collaboration Tools Support,,,,,,,,,,,,,,
INC0513577,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514089,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514196,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514289,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514013,Lotus Notes Support,,,,,,,,,,,,,,
INC0514286,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514386,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0514566,Lotus Notes Support,,,,,,,,,,,,,,
INC0514762,Lotus Notes Support,,,,,,,,,,,,,,
INC0514769,Lotus Notes Support,,,,,,,,,,,,,,
INC0514812,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514851,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515100,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0515146,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515216,Lotus Notes Support,,,,,,,,,,,,,,
INC0515423,Lotus Notes Support,,,,,,,,,,,,,,
INC0515265,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0515270,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0515931,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0516872,Collaboration Tools Support,,,,,,,,,,,,,,
INC0516934,Lotus Notes Support,,,,,,,,,,,,,,
INC0516979,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0517136,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0517821,Collaboration Tools Support,,,,,,,,,,,,,,
INC0482843,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515614,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0466525,Collaboration Tools Support,,,,,,,,,,,,,,
INC0482419,Collaboration Tools Support,,,,,,,,,,,,,,
INC0511378,Collaboration Tools Support,,,,,,,,,,,,,,
INC0511819,Collaboration Tools Support,,,,,,,,,,,,,,
INC0497209,Collaboration Tools Support,,,,,,,,,,,,,,
INC0507728,Collaboration Tools Support,,,,,,,,,,,,,,
INC0511109,Collaboration Tools Support,,,,,,,,,,,,,,
INC0494544,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510147,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512454,Manufacturing Application Support,,,,,,,,,,,,,,
INC0510588,Collaboration Tools Support,,,,,,,,,,,,,,
INC0511056,Collaboration Tools Support,,,,,,,,,,,,,,
INC0503133,Collaboration Tools Support,,,,,,,,,,,,,,
INC0508617,Collaboration Tools Support,,,,,,,,,,,,,,
INC0485458,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510606,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512719,Collaboration Tools Support,,,,,,,,,,,,,,
INC0510527,Integration Support,,,,,,,,,,,,,,
INC0494605,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0512686,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0506232,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0510985,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514625,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515125,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515449,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0515478,Lotus Notes Support,,,,,,,,,,,,,,
INC0514271,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514987,Collaboration Tools Support,,,,,,,,,,,,,,
INC0513273,Collaboration Tools Support,,,,,,,,,,,,,,
INC0512872,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515414,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515562,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515350,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515547,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0513609,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514615,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514998,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0515200,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514966,Collaboration Tools Support,,,,,,,,,,,,,,
INC0513207,Collaboration Tools Support,,,,,,,,,,,,,,
INC0514736,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0516304,SAP Vistex Support,,,,,,,,,,,,,,
INC0516328,SAP Vistex Support,,,,,,,,,,,,,,
INC0515874,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515886,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517105,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517332,Collaboration Tools Support,,,,,,,,,,,,,,
INC0515809,Collaboration Tools Support,,,,,,,,,,,,,,
INC0516829,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517296,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517388,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0519286,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0515871,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522937,Collaboration Tools Support,,,,,,,,,,,,,,
INC0516871,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517159,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517008,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0517117,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0516981,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517170,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517214,Collaboration Tools Support,,,,,,,,,,,,,,
INC0518115,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0518741,Collaboration Tools Support,,,,,,,,,,,,,,
INC0518875,Lotus Notes Support,,,,,,,,,,,,,,
INC0517712,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517921,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517944,Lotus Notes Support,,,,,,,,,,,,,,
INC0518098,Collaboration Tools Support,,,,,,,,,,,,,,
INC0519271,Filenet Support,,,,,,,,,,,,,,
INC0517717,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0519103,Lotus Notes Support,,,,,,,,,,,,,,
INC0518746,Collaboration Tools Support,,,,,,,,,,,,,,
INC0519247,SAP Vistex Support,,,,,,,,,,,,,,
INC0518169,Collaboration Tools Support,,,,,,,,,,,,,,
INC0519185,Collaboration Tools Support,,,,,,,,,,,,,,
INC0518214,Collaboration Tools Support,,,,,,,,,,,,,,
INC0518656,Lotus Notes Support,,,,,,,,,,,,,,
INC0518570,Collaboration Tools Support,,,,,,,,,,,,,,
INC0518852,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0519205,Collaboration Tools Support,,,,,,,,,,,,,,
INC0517991,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0519523,Integration Support,,,,,,,,,,,,,,
INC0519748,Lotus Notes Support,,,,,,,,,,,,,,
INC0520069,Lotus Notes Support,,,,,,,,,,,,,,
INC0519334,Collaboration Tools Support,,,,,,,,,,,,,,
INC0519871,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0520271,Lotus Notes Support,,,,,,,,,,,,,,
INC0520288,Lotus Notes Support,,,,,,,,,,,,,,
INC0520451,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0520767,Integration Support,,,,,,,,,,,,,,
INC0520275,Lotus Notes Support,,,,,,,,,,,,,,
INC0520296,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0520615,SAP Vistex Support,,,,,,,,,,,,,,
INC0520638,SAP Vistex Support,,,,,,,,,,,,,,
INC0519741,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0520134,Collaboration Tools Support,,,,,,,,,,,,,,
INC0520416,SAP Vistex Support,,,,,,,,,,,,,,
INC0520778,Integration Support,,,,,,,,,,,,,,
INC0520235,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0519769,Collaboration Tools Support,,,,,,,,,,,,,,
INC0519990,Collaboration Tools Support,,,,,,,,,,,,,,
INC0519779,Integration Support,,,,,,,,,,,,,,
INC0519348,Collaboration Tools Support,,,,,,,,,,,,,,
INC0519775,Collaboration Tools Support,,,,,,,,,,,,,,
INC0521170,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0520797,Lotus Notes Support,,,,,,,,,,,,,,
INC0520853,Collaboration Tools Support,,,,,,,,,,,,,,
INC0521489,Collaboration Tools Support,,,,,,,,,,,,,,
INC0521819,Lotus Notes Support,,,,,,,,,,,,,,
INC0522121,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522202,Lotus Notes Support,,,,,,,,,,,,,,
INC0521050,Collaboration Tools Support,,,,,,,,,,,,,,
INC0521350,Collaboration Tools Support,,,,,,,,,,,,,,
INC0521933,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0521993,Lotus Notes Support,,,,,,,,,,,,,,
INC0522217,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522386,Integration Support,,,,,,,,,,,,,,
INC0520864,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522031,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522254,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0521286,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522325,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0521883,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522378,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522033,Collaboration Tools Support,,,,,,,,,,,,,,
INC0521764,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522572,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522618,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522647,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522742,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522750,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522784,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522812,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522819,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0522820,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522831,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522875,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522892,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522908,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522898,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522652,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522837,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522780,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522834,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522650,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522847,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522694,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522927,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522948,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522971,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523016,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523026,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523040,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523042,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523045,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523052,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523100,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523110,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523121,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523139,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523186,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523205,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523193,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523028,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522997,Lotus Notes Support,,,,,,,,,,,,,,
INC0523024,Collaboration Tools Support,,,,,,,,,,,,,,
INC0522955,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523059,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523306,Integration Support,,,,,,,,,,,,,,
INC0523235,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523348,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523523,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523537,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523731,SAP Vistex Support,,,,,,,,,,,,,,
INC0523734,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523919,Integration Support,,,,,,,,,,,,,,
INC0524072,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0523484,Integration Support,,,,,,,,,,,,,,
INC0523687,SAP Vistex Support,,,,,,,,,,,,,,
INC0524231,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0524480,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0523385,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523661,Collaboration Tools Support,,,,,,,,,,,,,,
INC0524320,Lotus Notes Support,,,,,,,,,,,,,,
INC0524558,Collaboration Tools Support,,,,,,,,,,,,,,
INC0523438,SAP Vistex Support,,,,,,,,,,,,,,
INC0523485,Collaboration Tools Support,,,,,,,,,,,,,,
INC0524162,Collaboration Tools Support,,,,,,,,,,,,,,
INC0524772,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0525244,SAP Vistex Support,,,,,,,,,,,,,,
INC0525303,Lotus Notes Support,,,,,,,,,,,,,,
INC0525254,SAP Vistex Support,,,,,,,,,,,,,,
INC0525276,Collaboration Tools Support,,,,,,,,,,,,,,
INC0525329,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0525370,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0525392,Collaboration Tools Support,,,,,,,,,,,,,,
INC0525624,SAP Vistex Support,,,,,,,,,,,,,,
INC0526132,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0524573,Collaboration Tools Support,,,,,,,,,,,,,,
INC0524641,Collaboration Tools Support,,,,,,,,,,,,,,
INC0524867,SAP Vistex Support,,,,,,,,,,,,,,
INC0524888,Collaboration Tools Support,,,,,,,,,,,,,,
INC0525211,Collaboration Tools Support,,,,,,,,,,,,,,
INC0525213,Collaboration Tools Support,,,,,,,,,,,,,,
INC0525429,Collaboration Tools Support,,,,,,,,,,,,,,
INC0525918,Collaboration Tools Support,,,,,,,,,,,,,,
INC0525239,Collaboration Tools Support,,,,,,,,,,,,,,
INC0525613,Collaboration Tools Support,,,,,,,,,,,,,,
INC0526638,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0526654,SAP Vistex Support,,,,,,,,,,,,,,
INC0526779,SAP Vistex Support,,,,,,,,,,,,,,
INC0526788,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0526965,Collaboration Tools Support,,,,,,,,,,,,,,
INC0527015,Collaboration Tools Support,,,,,,,,,,,,,,
INC0526528,Collaboration Tools Support,,,,,,,,,,,,,,
INC0527170,Integration Support,,,,,,,,,,,,,,
INC0527415,SAP Vistex Support,,,,,,,,,,,,,,
INC0528026,Lotus Notes Support,,,,,,,,,,,,,,
INC0527355,Collaboration Tools Support,,,,,,,,,,,,,,
INC0528116,Collaboration Tools Support,,,,,,,,,,,,,,
INC0526641,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0528460,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0529020,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0529218,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0529354,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0528063,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0526780,Collaboration Tools Support,,,,,,,,,,,,,,
INC0528017,Collaboration Tools Support,,,,,,,,,,,,,,
INC0528027,Collaboration Tools Support,,,,,,,,,,,,,,
INC0527359,Collaboration Tools Support,,,,,,,,,,,,,,
INC0122715,Collaboration Tools Support,,,,,,,,,,,,,,
INC0331787,Integration Support,,,,,,,,,,,,,,
INC0332215,Integration Support,,,,,,,,,,,,,,
INC0333644,Integration Support,,,,,,,,,,,,,,
INC0322715,Integration Support,,,,,,,,,,,,,,
INC0338968,Integration Support,,,,,,,,,,,,,,
INC0336920,Integration Support,,,,,,,,,,,,,,
INC0343701,Integration Support,,,,,,,,,,,,,,
INC0348341,Integration Support,,,,,,,,,,,,,,
INC0333500,Integration Support,,,,,,,,,,,,,,
INC0529571,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0529573,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0529765,Integration Support,,,,,,,,,,,,,,
INC0530024,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0530042,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0530492,SAP Vistex Support,,,,,,,,,,,,,,
INC0529744,3rd Party Application Support,,,,,,,,,,,,,,
INC0530555,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0531061,Collaboration Tools Support,,,,,,,,,,,,,,
INC0353230,Integration Support,,,,,,,,,,,,,,
INC0353556,Integration Support,,,,,,,,,,,,,,
INC0357591,Integration Support,,,,,,,,,,,,,,
INC0358108,Integration Support,,,,,,,,,,,,,,
INC0357608,Integration Support,,,,,,,,,,,,,,
INC0362235,Integration Support,,,,,,,,,,,,,,
INC0362365,Integration Support,,,,,,,,,,,,,,
INC0365609,Integration Support,,,,,,,,,,,,,,
INC0366371,Integration Support,,,,,,,,,,,,,,
INC0368681,Integration Support,,,,,,,,,,,,,,
INC0370542,Integration Support,,,,,,,,,,,,,,
INC0409309,Integration Support,,,,,,,,,,,,,,
INC0367814,Integration Support,,,,,,,,,,,,,,
INC0372475,Integration Support,,,,,,,,,,,,,,
INC0375686,Integration Support,,,,,,,,,,,,,,
INC0376696,Integration Support,,,,,,,,,,,,,,
INC0378569,Integration Support,,,,,,,,,,,,,,
INC0381670,Integration Support,,,,,,,,,,,,,,
INC0383977,Integration Support,,,,,,,,,,,,,,
INC0386352,Integration Support,,,,,,,,,,,,,,
INC0386399,Integration Support,,,,,,,,,,,,,,
INC0379957,Integration Support,,,,,,,,,,,,,,
INC0389453,Integration Support,,,,,,,,,,,,,,
INC0392195,Integration Support,,,,,,,,,,,,,,
INC0394552,Integration Support,,,,,,,,,,,,,,
INC0394748,Integration Support,,,,,,,,,,,,,,
INC0396852,Integration Support,,,,,,,,,,,,,,
INC0397556,Integration Support,,,,,,,,,,,,,,
INC0400368,Integration Support,,,,,,,,,,,,,,
INC0401696,Integration Support,,,,,,,,,,,,,,
INC0403331,Integration Support,,,,,,,,,,,,,,
INC0395164,Integration Support,,,,,,,,,,,,,,
INC0405766,Integration Support,,,,,,,,,,,,,,
INC0404861,Integration Support,,,,,,,,,,,,,,
INC0406445,Integration Support,,,,,,,,,,,,,,
INC0412754,Integration Support,,,,,,,,,,,,,,
INC0418345,Integration Support,,,,,,,,,,,,,,
INC0421196,Integration Support,,,,,,,,,,,,,,
INC0422596,Integration Support,,,,,,,,,,,,,,
INC0423168,Integration Support,,,,,,,,,,,,,,
INC0425000,Integration Support,,,,,,,,,,,,,,
INC0427066,Integration Support,,,,,,,,,,,,,,
INC0427072,Integration Support,,,,,,,,,,,,,,
INC0428423,Integration Support,,,,,,,,,,,,,,
INC0428816,Integration Support,,,,,,,,,,,,,,
INC0431987,Integration Support,,,,,,,,,,,,,,
INC0433305,Integration Support,,,,,,,,,,,,,,
INC0433388,Integration Support,,,,,,,,,,,,,,
INC0434762,Integration Support,,,,,,,,,,,,,,
INC0432352,Integration Support,,,,,,,,,,,,,,
INC0130397,Lotus Notes Support,,,,,,,,,,,,,,
INC0438388,Integration Support,,,,,,,,,,,,,,
INC0439169,Integration Support,,,,,,,,,,,,,,
INC0441085,Integration Support,,,,,,,,,,,,,,
INC0443952,Integration Support,,,,,,,,,,,,,,
INC0445475,Integration Support,,,,,,,,,,,,,,
INC0443564,Integration Support,,,,,,,,,,,,,,
INC0448542,Integration Support,,,,,,,,,,,,,,
INC0451924,Integration Support,,,,,,,,,,,,,,
INC0452514,Integration Support,,,,,,,,,,,,,,
